design_name,clock_frequency_mhz,toggle_rate,static_probability,cell_count,seq_cell_count,total_area,logic_depth,dynamic_power,leakage_power,power_units,vdd,temperature,process,pvt_corner
full_half_add_1bit,200,0.10,0.37,11,0,0.137088,4,838.4224,603.3494,nW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,200,0.10,0.63,11,0,0.137088,4,863.8708,627.0356,nW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,200,0.10,0.90,11,0,0.137088,4,875.7202,706.5450,nW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,200,0.37,0.10,11,0,0.137088,4,2.8177,521.1643,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,200,0.37,0.37,11,0,0.137088,4,2.8374,587.3007,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,200,0.37,0.63,11,0,0.137088,4,2.8907,639.9135,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,200,0.37,0.90,11,0,0.137088,4,2.9054,729.8771,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,200,0.63,0.10,11,0,0.137088,4,4.7307,448.9404,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,200,0.63,0.37,11,0,0.137088,4,4.7279,541.2358,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,200,0.63,0.63,11,0,0.137088,4,4.7252,638.6167,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,200,0.63,0.90,11,0,0.137088,4,4.7224,748.5741,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,200,0.90,0.10,11,0,0.137088,4,6.6543,448.9404,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
